FID	X	Y	demand	sub_region
132	805345.9 	3813816.3 	1569	0
133	807928.6 	3811749.2 	2035	0
134	807480.3 	3813075.5 	2258	0
135	806504.2 	3814274.0 	2366	0
136	805905.5 	3814786.5 	3172	0
137	804997.3 	3817076.4 	1839	0
138	804082.4 	3816797.1 	3022	0
139	802329.6 	3817558.7 	3856	0
140	800236.2 	3817100.4 	2083	0
141	800091.2 	3816166.9 	2643	0
142	802050.9 	3815825.7 	1524	0
143	801847.1 	3816339.3 	1688	0
144	801893.7 	3822910.9 	1806	0
145	801959.5 	3820611.5 	2269	0
146	803072.7 	3820976.6 	1041	0
147	802905.4 	3822934.4 	2020	0
148	803459.5 	3821271.5 	2027	0
149	802151.4 	3824492.7 	2162	0
150	801997.9 	3825371.8 	2719	0
151	800410.8 	3824249.9 	1786	0
152	799188.8 	3825897.2 	1487	0
153	799678.9 	3825849.1 	1793	0
154	799479.8 	3826925.6 	1643	0
155	799736.5 	3827802.1 	1680	0
156	799598.1 	3829234.1 	2883	0
157	799076.7 	3828511.9 	2583	0
158	798230.6 	3829341.3 	826	0
159	797714.4 	3827261.3 	2103	0
160	796261.2 	3828476.7 	3080	0
161	796621.7 	3829137.0 	2180	0
162	797028.2 	3829721.0 	998	0
163	796371.1 	3831103.2 	1989	0
164	795790.3 	3830967.2 	2400	0
165	795423.6 	3832051.3 	1068	0
166	799451.7 	3823590.9 	2264	0
167	798156.2 	3825680.3 	1372	0
168	796967.6 	3825740.6 	2160	0
169	797258.3 	3824153.0 	2076	0
170	797423.9 	3822618.6 	2560	0
171	796735.2 	3820649.4 	2090	0
172	797893.8 	3819780.6 	1816	0
173	798773.5 	3819426.1 	676	0
174	798992.9 	3821033.7 	1340	0
175	799403.7 	3821911.1 	3125	0
176	799640.9 	3823271.1 	826	0
177	800006.2 	3823540.6 	2515	0
178	775951.0 	3815909.2 	2117	0
179	777036.0 	3815561.1 	1357	0
180	777058.4 	3816145.0 	583	0
181	777857.9 	3818427.1 	3154	0
182	776079.1 	3820730.6 	2898	0
183	776935.4 	3814659.3 	2253	0
184	776650.7 	3813349.0 	1599	0
185	776682.6 	3814221.1 	1588	0
186	774854.7 	3812576.2 	1100	0
187	774780.3 	3815520.2 	1498	0
188	777102.0 	3821589.8 	1700	0
189	778673.5 	3820908.6 	2078	0
190	778859.5 	3822817.6 	2188	0
191	780680.8 	3822419.3 	2059	0
192	780715.3 	3820987.2 	2472	0
193	780820.8 	3819247.7 	1179	0
194	780467.1 	3818775.1 	1929	0
195	782292.2 	3819393.4 	2147	0
196	781153.9 	3817958.1 	1154	0
197	781965.8 	3817153.7 	2081	0
198	784012.6 	3816763.6 	1430	0
199	784644.5 	3817060.0 	1770	0
200	785338.6 	3815106.2 	2800	0
201	784396.2 	3814945.2 	1131	0
202	782398.8 	3812528.8 	1988	0
203	781483.6 	3813543.3 	1434	0
204	778300.3 	3815574.8 	684	0
205	781329.3 	3816327.6 	1858	0
206	780233.9 	3812144.2 	2186	0
207	780605.1 	3814572.5 	2632	0
208	779485.4 	3814473.5 	2338	0
209	779522.4 	3815262.2 	3125	0
210	784207.6 	3819438.1 	1996	0
211	786502.0 	3817214.3 	1031	0
212	787006.3 	3819710.3 	1243	0
213	786141.2 	3819754.6 	1159	0
214	785565.8 	3819680.4 	2212	0
215	787203.8 	3818466.4 	1109	0
216	787485.8 	3820739.4 	1525	0
217	789112.6 	3820964.5 	1785	0
218	789348.5 	3822268.6 	1860	0
219	789487.6 	3819561.4 	1596	0
220	791408.2 	3821440.7 	1201	0
221	792196.1 	3822681.9 	2910	0
222	793537.6 	3824131.5 	1942	0
223	794447.4 	3822056.5 	3409	0
224	794374.9 	3821151.7 	1737	0
225	794167.1 	3818432.1 	2636	0
226	794455.7 	3820593.7 	1535	0
227	794151.2 	3820009.2 	1524	0
228	790114.4 	3817307.9 	3473	0
229	793728.0 	3817709.3 	1370	0
230	788213.2 	3816971.0 	2385	0
231	788568.6 	3815403.7 	2626	0
232	793250.3 	3816603.0 	1437	0
233	790012.1 	3814913.0 	1335	0
234	791266.2 	3814637.3 	2736	0
235	793946.8 	3816477.6 	1235	0
236	792419.8 	3817580.9 	1482	0
237	791048.6 	3818645.7 	2700	0
238	791146.9 	3816781.6 	1246	0
239	787977.1 	3822808.8 	864	0
240	786921.1 	3823924.0 	2070	0
241	787190.4 	3822938.8 	1373	0
242	790253.8 	3824047.4 	1650	0
243	789236.5 	3824976.9 	1166	0
244	788450.6 	3824335.4 	1069	0
245	787708.6 	3824501.0 	990	0
246	785912.3 	3821543.1 	1675	0
247	784964.2 	3822577.8 	926	0
248	784915.3 	3823728.9 	1356	0
249	785335.7 	3824625.1 	2032	0
250	786261.7 	3825669.6 	1620	0
251	789807.1 	3826788.7 	1585	0
252	787455.2 	3827490.8 	1266	0
253	786567.6 	3828390.2 	1260	0
254	786254.3 	3828653.4 	1584	0
255	786254.3 	3828653.4 	1847	0
256	786830.7 	3830078.3 	1384	0
257	788309.3 	3829401.3 	2644	0
258	786964.4 	3836029.0 	2046	0
259	788517.1 	3834744.7 	2076	0
260	787928.8 	3833497.7 	1786	0
261	789027.1 	3832343.3 	1586	0
262	789728.7 	3831783.3 	1350	0
263	789911.3 	3832635.7 	1913	0
264	791510.2 	3833319.1 	2023	0
265	792466.0 	3832591.4 	1711	0
266	792032.5 	3831092.5 	1740	0
267	791289.5 	3829893.9 	1800	0
268	792670.6 	3829864.3 	2016	0
269	791543.6 	3827712.5 	2894	0
270	793814.8 	3827687.6 	1481	0
271	793868.2 	3825975.2 	2483	0
272	794326.0 	3825285.6 	1757	0
273	791287.6 	3825459.1 	3215	0
274	778767.9 	3810442.4 	2131	0
275	778712.7 	3811464.9 	2164	0
276	776858.1 	3811144.6 	1158	0
277	775663.2 	3812396.5 	1304	0
278	774756.7 	3811425.8 	2542	0
279	773371.1 	3812042.1 	1850	0
280	773222.7 	3810980.0 	1241	0
281	772049.9 	3810530.7 	1807	0
282	772869.0 	3809802.2 	2227	0
283	772092.1 	3809607.1 	2296	0
284	772991.2 	3806774.1 	2348	0
285	773455.4 	3805330.4 	1686	0
286	772242.3 	3804979.9 	926	0
287	772907.5 	3804187.9 	2123	0
288	774873.6 	3804399.9 	1833	0
289	776683.5 	3804584.1 	3288	0
290	779722.4 	3804552.5 	2557	0
291	774019.8 	3813804.5 	1400	0
292	780886.0 	3805548.1 	2377	0
293	780185.0 	3807250.7 	1863	0
294	780520.7 	3808247.6 	1560	0
295	778673.8 	3808125.8 	2332	0
296	776438.3 	3807670.8 	951	0
297	776065.0 	3806368.8 	1559	0
298	775245.2 	3807502.6 	1280	0
299	776230.9 	3808847.8 	2994	0
300	768167.5 	3805901.9 	1620	0
301	767412.1 	3803702.7 	1600	0
302	767438.0 	3806810.3 	2086	0
303	767486.8 	3805041.7 	1320	0
304	766382.8 	3805309.6 	1320	0
305	765634.8 	3807465.5 	2032	0
306	771416.0 	3815609.0 	2715	0
307	773329.6 	3815189.0 	3271	0
308	771479.3 	3806976.5 	1072	0
309	771088.1 	3809355.9 	2766	0
310	769240.0 	3814512.9 	4554	0
311	769958.6 	3816885.8 	2100	0
312	765985.2 	3815435.0 	1385	0
313	766900.5 	3815832.2 	3020	0
314	765905.1 	3814211.0 	2236	0
315	764987.8 	3814622.2 	931	0
316	765225.6 	3812726.0 	2190	0
317	767185.9 	3811185.7 	3100	0
318	766886.0 	3808571.6 	1957	0
319	765515.4 	3808159.1 	1792	0
320	769039.2 	3807915.7 	1703	0
321	770771.1 	3805776.8 	2002	0
322	766304.0 	3803992.1 	1401	0
323	765616.5 	3804971.0 	1170	0
324	770634.8 	3812428.7 	2260	0
325	770816.8 	3813458.5 	2707	0
326	770984.1 	3814412.3 	1200	0
327	772034.8 	3814302.9 	1890	0
328	767624.6 	3814546.4 	2055	0
329	768761.4 	3812415.0 	1749	0
330	766271.3 	3812079.2 	1694	0
331	767413.0 	3813311.1 	1237	0
332	765241.6 	3810184.5 	2676	0
333	765091.8 	3811259.9 	1426	0
334	769255.8 	3810457.7 	1297	0
335	766732.5 	3803596.6 	710	0
336	768690.6 	3809372.6 	1790	0
337	768236.0 	3808246.1 	1354	0
338	786403.6 	3806038.8 	526	0
339	786559.5 	3806332.7 	1147	0
340	784470.5 	3806328.0 	1268	0
341	784643.3 	3813536.9 	2620	0
342	784425.2 	3803339.1 	1876	0
343	784244.4 	3804595.2 	1798	0
344	784123.7 	3804463.1 	1403	0
345	784811.0 	3804056.6 	2408	0
346	788539.0 	3804882.2 	910	0
347	787820.4 	3805411.7 	1528	0
348	785821.7 	3807218.2 	1351	0
349	787061.5 	3804480.3 	1535	0
350	782691.2 	3803666.5 	1540	0
351	785614.5 	3807546.1 	1465	0
352	782625.1 	3807423.5 	1870	0
353	783178.9 	3804854.1 	2260	0
354	783531.8 	3806575.8 	2960	0
355	783355.4 	3810013.9 	2295	0
356	782039.7 	3809009.8 	1178	0
357	781996.8 	3809209.4 	1182	0
358	784054.0 	3811079.8 	2277	0
359	784756.7 	3808338.0 	1455	0
360	785359.1 	3808802.3 	1538	0
361	786568.6 	3809159.1 	2882	0
362	785420.7 	3810515.7 	1782	0
363	785713.8 	3808169.6 	592	0
364	786238.3 	3792732.7 	1274	0
365	786292.2 	3791954.5 	973	0
366	787323.9 	3791232.9 	2082	0
367	787938.7 	3791063.6 	1680	0
368	790974.2 	3793145.5 	1300	0
369	791090.0 	3793150.3 	2950	0
370	791463.2 	3795215.4 	933	0
371	791463.2 	3795215.4 	1588	0
372	791547.7 	3795675.5 	1053	0
373	791377.3 	3796499.9 	1204	0
374	787170.6 	3793251.3 	2085	0
375	788141.8 	3793047.7 	1762	0
376	788701.9 	3794887.7 	2210	0
377	788565.0 	3795813.7 	1482	0
378	789755.7 	3795199.5 	1215	0
379	786699.5 	3794177.9 	2996	0
380	785554.5 	3794075.5 	1113	0
381	786679.0 	3795668.2 	1663	0
382	786585.1 	3794789.3 	2511	0
383	785512.7 	3796563.8 	860	0
384	785531.6 	3797235.9 	980	0
385	786439.1 	3796696.9 	1723	0
386	787382.3 	3797577.6 	860	0
387	788986.1 	3799097.0 	1079	0
388	788791.8 	3799305.9 	2105	0
389	789102.3 	3800417.6 	1480	0
390	789105.0 	3800425.1 	2080	0
391	788107.4 	3801529.9 	502	0
392	788925.6 	3801893.4 	1378	0
393	788447.1 	3801740.2 	998	0
394	789228.9 	3803684.2 	4128	0
395	789109.0 	3797353.6 	1640	0
396	789159.0 	3796988.9 	2290	0
397	789368.1 	3798113.6 	1800	0
398	788967.0 	3797997.7 	1490	0
399	790496.6 	3798332.9 	1761	0
400	789194.7 	3798650.0 	1287	0
401	789382.0 	3798145.3 	680	0
402	790169.0 	3792530.0 	2121	0
403	787403.7 	3792213.4 	1265	0
404	810579.7 	3803401.4 	2180	0
405	809011.0 	3802765.3 	1580	0
406	810614.3 	3801749.0 	2163	0
407	811383.7 	3801939.9 	1926	0
408	812082.5 	3801530.4 	1565	0
409	812433.0 	3802385.1 	1220	0
410	812757.0 	3802060.8 	1287	0
411	814905.2 	3801237.7 	2386	0
412	814929.8 	3800599.7 	1280	0
413	814659.7 	3799275.6 	2800	0
414	812878.2 	3797054.2 	2386	0
415	812289.9 	3798463.9 	4252	0
416	811095.5 	3797552.0 	1596	0
417	811107.4 	3796662.9 	3046	0
418	809038.9 	3799625.8 	4263	0
419	808618.0 	3797787.9 	2247	0
420	807186.7 	3798856.4 	1770	0
421	806381.0 	3799782.4 	2009	0
422	805581.6 	3799789.2 	2156	0
423	805003.0 	3800422.3 	2716	0
424	804388.2 	3802047.8 	4330	0
425	808911.3 	3801511.5 	2393	0
426	807994.0 	3801527.0 	4091	0
427	807854.8 	3803598.6 	841	0
428	806377.5 	3803777.3 	2600	0
429	805787.8 	3804579.1 	302	0
430	805922.5 	3805140.9 	1380	0
431	806265.3 	3805553.0 	1759	0
432	808151.7 	3805276.3 	1210	0
433	807215.7 	3805616.4 	1540	0
434	807574.4 	3807274.0 	2560	0
435	811594.9 	3806286.4 	3176	0
436	810747.4 	3806307.1 	2237	0
437	809872.2 	3805152.6 	2080	0
438	810579.7 	3803401.4 	1346	0
439	783434.2 	3796969.5 	1210	0
440	785843.5 	3801953.2 	3049	0
441	785602.4 	3801733.0 	3223	0
442	786942.4 	3800513.8 	2473	0
443	787319.3 	3799464.8 	1206	0
444	786671.0 	3799288.6 	1110	0
445	786504.6 	3798603.7 	1567	0
446	785438.9 	3799828.1 	2488	0
447	783847.9 	3798969.4 	1916	0
448	784457.7 	3797935.3 	589	0
449	784220.6 	3798146.4 	1303	0
450	785218.9 	3798271.2 	1646	0
451	784578.0 	3796493.0 	3088	0
452	782098.0 	3799355.8 	2090	0
453	782014.3 	3796308.6 	1060	0
454	786703.0 	3797037.4 	505	0
455	782119.8 	3797030.8 	1861	0
456	782638.5 	3795998.5 	2175	0
457	781037.6 	3796216.3 	1200	0
458	779138.7 	3795658.8 	865	0
459	780393.3 	3795916.2 	2260	0
460	779022.5 	3797088.5 	2089	0
461	810891.9 	3798694.8 	2200	0
462	780754.0 	3798694.9 	1782	0
463	780791.2 	3800384.9 	2080	0
464	779126.8 	3800938.3 	823	0
465	779979.6 	3801252.0 	2180	0
466	781194.6 	3801476.2 	3322	0
467	782802.5 	3802175.9 	2046	0
468	782263.3 	3800479.4 	1748	0
469	782265.9 	3800476.6 	575	0
470	774621.5 	3800009.0 	2492	0
471	778191.7 	3801034.6 	1523	0
472	776961.0 	3799403.9 	1158	0
473	776891.6 	3798492.6 	940	0
474	777440.1 	3798751.3 	936	0
475	778316.7 	3798717.4 	2380	0
476	779308.9 	3799001.6 	886	0
477	778874.2 	3797924.1 	953	0
478	779013.4 	3794874.5 	1380	0
479	777867.0 	3795188.8 	1735	0
480	777374.6 	3795859.2 	1163	0
481	777211.0 	3796439.1 	1440	0
482	777081.0 	3797529.5 	1430	0
483	775904.7 	3798011.2 	2226	0
484	775833.6 	3798421.8 	1735	0
485	776339.7 	3803376.9 	1816	0
486	775190.0 	3800689.9 	1097	0
487	774621.5 	3800009.0 	1669	0
488	775194.6 	3800697.9 	1878	0
489	775677.5 	3799954.1 	2168	0
490	774521.9 	3799312.8 	2176	0
491	778336.2 	3801526.9 	1271	0
492	776614.9 	3800798.9 	1780	0
493	774581.0 	3802685.9 	3700	0
494	772896.4 	3801022.8 	1450	0
495	772857.8 	3799881.1 	1575	0
496	773179.4 	3799639.0 	1265	0
497	772235.5 	3801331.6 	2642	0
498	771112.8 	3801195.2 	3340	0
499	771100.8 	3803992.9 	850	0
500	770464.2 	3804035.7 	1166	0
501	769651.4 	3803921.9 	1062	0
502	770383.2 	3802673.3 	1223	0
503	769590.8 	3802521.4 	2300	0
504	768972.9 	3802164.2 	1430	0
505	768997.0 	3801601.4 	1550	0
506	766942.0 	3801685.0 	3530	0
507	774793.8 	3799905.1 	1096	0
508	792729.0 	3813569.6 	1550	0
509	794809.4 	3812972.3 	2595	0
510	794936.1 	3813679.5 	1120	0
511	794433.3 	3815170.1 	1430	0
512	793119.4 	3813041.7 	2200	0
513	792873.1 	3814145.5 	1223	0
514	794130.5 	3814421.4 	3530	0
515	795476.9 	3814762.7 	2300	0
